grup,puan,olcum,birey
1,25,1,1
1,50,1,2
1,38,1,3
1,50,1,4
1,25,1,5
1,25,1,6
1,25,1,7
1,25,1,8
1,0,1,9
1,50,1,10
1,88,1,11
1,13,1,12
1,25,1,13
1,0,1,14
1,25,1,15
1,75,1,16
1,50,1,17
1,25,1,18
1,38,1,19
1,63,1,20
2,13,1,21
2,50,1,22
2,25,1,23
2,13,1,24
2,25,1,25
2,50,1,26
2,38,1,27
2,25,1,28
2,25,1,29
2,38,1,30
2,13,1,31
2,25,1,32
2,38,1,33
2,38,1,34
2,38,1,35
2,38,1,36
2,13,1,37
2,13,1,38
2,25,1,39
2,0,1,40
1,50,2,1
1,45,2,2
1,75,2,3
1,40,2,4
1,65,2,5
1,65,2,6
1,65,2,7
1,45,2,8
1,70,2,9
1,85,2,10
1,30,2,11
1,45,2,12
1,55,2,13
1,40,2,14
1,45,2,15
1,40,2,16
1,40,2,17
1,50,2,18
1,30,2,19
1,70,2,20
2,45,2,21
2,65,2,22
2,35,2,23
2,55,2,24
2,40,2,25
2,30,2,26
2,50,2,27
2,50,2,28
2,40,2,29
2,35,2,30
2,35,2,31
2,55,2,32
2,65,2,33
2,40,2,34
2,55,2,35
2,80,2,36
2,75,2,37
2,75,2,38
2,45,2,39
2,55,2,40